"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "vue", "JavaScript", "CSS", "comment", "blank", "total"
"d:\desktop\SchoolPeople_Manage\src\views\management\teacher.vue", "vue", 0, 0, 0, 0, 0, 195, 0, 0, 1, 14, 210
"d:\desktop\SchoolPeople_Manage\src\views\permission.vue", "vue", 0, 0, 0, 0, 0, 137, 0, 0, 0, 11, 148
"d:\desktop\SchoolPeople_Manage\src\views\tabs.vue", "vue", 0, 0, 0, 0, 0, 128, 0, 0, 0, 5, 133
"d:\desktop\SchoolPeople_Manage\src\views\user.vue", "vue", 0, 0, 0, 0, 0, 164, 0, 0, 0, 11, 175
"d:\desktop\SchoolPeople_Manage\src\vite-env.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"d:\desktop\SchoolPeople_Manage\tsconfig.json", "JSON with Comments", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"d:\desktop\SchoolPeople_Manage\tsconfig.node.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\desktop\SchoolPeople_Manage\vite.config.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\desktop\SchoolPeople_Manage\文字资料\数据库定义.md", "Markdown", 0, 0, 0, 0, 65, 0, 0, 0, 0, 14, 79
"d:\desktop\SchoolPeople_Manage\文字资料\状态对照表.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 35
"Total", "-", 18, 621, 3280, 18, 255, 2397, 195, 192, 124, 343, 7443
