"filename", "language", "HTML", "Markdown", "TypeScript", "JSON with Comments", "JSON", "vue", "JavaScript", "CSS", "YAML", "comment", "blank", "total"
"d:\desktop\SchoolPeople_Manage-master\tsconfig.node.json", "JSON", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"d:\desktop\SchoolPeople_Manage-master\vite.config.ts", "TypeScript", 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, -1, -23
"d:\desktop\SchoolPeople_Manage-master\文字资料\数据库定义.md", "Markdown", 0, -64, 0, 0, 0, 0, 0, 0, 0, 0, -14, -78
"d:\desktop\SchoolPeople_Manage\README.md", "Markdown", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 18, 83
"d:\desktop\SchoolPeople_Manage\README_EN.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 27, 120
"d:\desktop\SchoolPeople_Manage\auto-imports.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"d:\desktop\SchoolPeople_Manage\components.d.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 3, 3, 55
"d:\desktop\SchoolPeople_Manage\index.html", "HTML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"d:\desktop\SchoolPeople_Manage\package-lock.json", "JSON", 0, 0, 0, 0, 1237, 0, 0, 0, 0, 0, 1, 1238
"d:\desktop\SchoolPeople_Manage\package.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"d:\desktop\SchoolPeople_Manage\public\table.json", "JSON", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 40
"d:\desktop\SchoolPeople_Manage\src\App.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\desktop\SchoolPeople_Manage\src\api\SysUser.js", "JavaScript", 0, 0, 0, 0, 0, 0, 150, 0, 0, 10, 11, 171
"d:\desktop\SchoolPeople_Manage\src\api\index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\desktop\SchoolPeople_Manage\src\assets\css\color-dark.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 28
"d:\desktop\SchoolPeople_Manage\src\assets\css\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\desktop\SchoolPeople_Manage\src\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 160, 0, 4, 37, 201
"d:\desktop\SchoolPeople_Manage\src\components\header.vue", "vue", 0, 0, 0, 0, 0, 150, 0, 0, 0, 4, 6, 160
"d:\desktop\SchoolPeople_Manage\src\components\sidebar.vue", "vue", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 10, 143
"d:\desktop\SchoolPeople_Manage\src\components\tags.vue", "vue", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 17, 176
"d:\desktop\SchoolPeople_Manage\src\main.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 4, 34
"d:\desktop\SchoolPeople_Manage\src\router\index.ts", "TypeScript", 0, 0, 135, 0, 0, 0, 0, 0, 0, 1, 4, 140
"d:\desktop\SchoolPeople_Manage\src\server\db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 10
"d:\desktop\SchoolPeople_Manage\src\server\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 8, 6, 32
"d:\desktop\SchoolPeople_Manage\src\store\permiss.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\desktop\SchoolPeople_Manage\src\store\sidebar.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\desktop\SchoolPeople_Manage\src\store\tags.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 54
