"filename", "language", "TypeScript", "JSON", "JSON with Comments", "vue", "CSS", "Markdown", "YAML", "HTML", "comment", "blank", "total"
"d:\desktop\SchoolPeople_Manage-master\src\components\tags.vue", "vue", 0, 0, 0, 154, 0, 0, 0, 0, 0, 15, 169
"d:\desktop\SchoolPeople_Manage-master\src\main.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 4, 34
"d:\desktop\SchoolPeople_Manage-master\src\router\index.ts", "TypeScript", 142, 0, 0, 0, 0, 0, 0, 0, 1, 4, 147
"d:\desktop\SchoolPeople_Manage-master\src\store\permiss.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\desktop\SchoolPeople_Manage-master\src\store\sidebar.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\desktop\SchoolPeople_Manage-master\src\store\tags.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"d:\desktop\SchoolPeople_Manage-master\src\utils\request.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\desktop\SchoolPeople_Manage-master\src\views\403.vue", "vue", 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"d:\desktop\SchoolPeople_Manage-master\src\views\404.vue", "vue", 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"d:\desktop\SchoolPeople_Manage-master\src\views\charts.vue", "vue", 0, 0, 0, 124, 0, 0, 0, 0, 0, 4, 128
"d:\desktop\SchoolPeople_Manage-master\src\views\dashboard.vue", "vue", 0, 0, 0, 274, 0, 0, 0, 0, 0, 25, 299
"d:\desktop\SchoolPeople_Manage-master\src\views\donate.vue", "vue", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\desktop\SchoolPeople_Manage-master\src\views\editor.vue", "vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"d:\desktop\SchoolPeople_Manage-master\src\views\form.vue", "vue", 0, 0, 0, 154, 0, 0, 0, 0, 0, 3, 157
"d:\desktop\SchoolPeople_Manage-master\src\views\home.vue", "vue", 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"d:\desktop\SchoolPeople_Manage-master\src\views\icon.vue", "vue", 0, 0, 0, 209, 0, 0, 0, 0, 0, 4, 213
"d:\desktop\SchoolPeople_Manage-master\src\views\login.vue", "vue", 0, 0, 0, 123, 0, 0, 0, 0, 0, 7, 130
"d:\desktop\SchoolPeople_Manage-master\src\views\markdown.vue", "vue", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"d:\desktop\SchoolPeople_Manage-master\src\views\permission.vue", "vue", 0, 0, 0, 127, 0, 0, 0, 0, 0, 11, 138
"d:\desktop\SchoolPeople_Manage-master\src\views\table.vue", "vue", 0, 0, 0, 179, 0, 0, 0, 0, 1, 12, 192
"d:\desktop\SchoolPeople_Manage-master\src\views\tabs.vue", "vue", 0, 0, 0, 112, 0, 0, 0, 0, 0, 5, 117
"d:\desktop\SchoolPeople_Manage-master\src\views\upload.vue", "vue", 0, 0, 0, 72, 0, 0, 0, 0, 0, 5, 77
"d:\desktop\SchoolPeople_Manage-master\src\views\user.vue", "vue", 0, 0, 0, 164, 0, 0, 0, 0, 0, 11, 175
"d:\desktop\SchoolPeople_Manage-master\src\vite-env.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"d:\desktop\SchoolPeople_Manage-master\tsconfig.json", "JSON with Comments", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\desktop\SchoolPeople_Manage-master\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\desktop\SchoolPeople_Manage-master\vite.config.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 369, 1323, 18, 2196, 192, 197, 10, 18, 19, 273, 4615
